epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,11582,0.41854,0.29283,0.96168,0.99788,0.98817,0.99494,0.98387,0.21001,0.15686,0.81766,0.00045302,0.00045302,0.00045302
107,11690.4,0.42407,0.29364,0.96385,0.99916,0.98825,0.99494,0.98155,0.21278,0.15315,0.81931,0.000445136,0.000445136,0.000445136
108,11800.2,0.42045,0.29015,0.9614,0.99694,0.98858,0.99495,0.97881,0.23229,0.15663,0.82106,0.000437267,0.000437267,0.000437267
109,11910.3,0.41932,0.28977,0.96346,0.99724,0.98775,0.99488,0.98095,0.20409,0.15474,0.8214,0.000429414,0.000429414,0.000429414
110,12019.5,0.4156,0.28631,0.95913,0.9979,0.98838,0.99495,0.98216,0.19636,0.15623,0.81834,0.000421578,0.000421578,0.000421578
111,12128.8,0.41734,0.28803,0.96173,0.99832,0.98755,0.99495,0.98351,0.1892,0.14529,0.81521,0.000413763,0.000413763,0.000413763
112,12239.2,0.41502,0.2885,0.95739,0.99758,0.98921,0.99497,0.97999,0.20109,0.14972,0.81773,0.000405969,0.000405969,0.000405969
113,12348,0.41009,0.28521,0.95726,0.999,0.98921,0.99497,0.97947,0.22938,0.15426,0.82222,0.000398199,0.000398199,0.000398199
114,12456.7,0.40163,0.28241,0.9548,0.99769,0.98879,0.99494,0.98453,0.2062,0.14951,0.81837,0.000390455,0.000390455,0.000390455
115,12565.1,0.40011,0.28106,0.956,0.99901,0.98879,0.99497,0.98481,0.20047,0.14849,0.81792,0.000382738,0.000382738,0.000382738
116,12673.5,0.40484,0.28515,0.9516,0.99642,0.98962,0.99496,0.98548,0.19662,0.1474,0.81971,0.000375052,0.000375052,0.000375052
117,12783.6,0.39511,0.27633,0.95086,0.99784,0.99004,0.99498,0.98435,0.19479,0.14998,0.81986,0.000367396,0.000367396,0.000367396
118,12894.2,0.4016,0.28178,0.95266,0.99938,0.98941,0.99498,0.98555,0.1897,0.14349,0.81603,0.000359775,0.000359775,0.000359775
119,13004.3,0.40021,0.28272,0.95247,0.99853,0.98987,0.99499,0.98617,0.18695,0.14179,0.81188,0.000352188,0.000352188,0.000352188
120,13113.4,0.39614,0.28181,0.95217,0.99895,0.9896,0.99499,0.98006,0.21678,0.15062,0.82234,0.000344639,0.000344639,0.000344639
